2026-09-11T17:30:32.515,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:33.468,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:33.744,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:34.473,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:34.665,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:35.468,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:35.509,192.168.4.2,192.168.1.1,17,366,normale
2026-09-11T17:30:35.589,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:36.475,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:36.509,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:37.47,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:37.944,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:38.474,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:38.66,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:39.007,192.168.4.4,192.168.4.1,17,116,normale
2026-09-11T17:30:39.012,192.168.4.4,192.168.4.1,17,116,normale
2026-09-11T17:30:39.021,192.168.4.4,192.168.4.1,17,116,normale
2026-09-11T17:30:39.023,192.168.4.4,192.168.4.1,17,116,normale
2026-09-11T17:30:39.476,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:39.89,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:40.476,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:40.479,192.168.4.4,192.168.4.1,17,100,normale
2026-09-11T17:30:40.481,192.168.4.4,192.168.4.1,17,100,normale
2026-09-11T17:30:40.493,192.168.4.4,192.168.4.1,17,105,normale
2026-09-11T17:30:40.495,192.168.4.4,192.168.4.1,17,105,normale
2026-09-11T17:30:40.503,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:40.811,192.168.4.4,224.0.0.251,17,311,normale
2026-09-11T17:30:41.471,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:41.732,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:42.475,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:42.655,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:43.471,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:43.576,192.168.4.3,192.168.4.2,1,122,normale
2026-09-11T17:30:44.475,192.168.4.2,192.168.4.3,1,122,normale
2026-09-11T17:30:44.702,192.168.4.3,192.168.4.2,1,122,normale
